product_code,product_name,category,subcategory,brand,unit_price,cost_price,weight_kg,dimensions,stock_quantity,supplier,created_date,status
PROD0001,Ultra Shoes 6153,Clothing,Shoes,GlobalBrand,633.11,491.11,36.97,24x20x7cm,136,Supplier_10,2025-04-06,ACTIVE
PROD0002,Pro Men 2356,Clothing,Men,PremiumCo,702.29,508.31,6.015,63x65x38cm,456,Supplier_10,2023-11-14,ACTIVE
PROD0003,Advanced Fitness 149,Sports,Fitness,TechCorp,2134.96,771.99,41.045,61x24x56cm,108,Supplier_3,2024-05-18,DISCONTINUED
PROD0004,Advanced Laptops 4363,Electronics,Laptops,LocalMaker,0,439.22,28.958,25x78x34cm,955,Supplier_6,2023-11-11,DISCONTINUED
PROD0005,Ultra Fitness 6437,Sports,Fitness,LocalMaker,1232.49,761.34,0.152,10x100x97cm,222,Supplier_7,2025-01-24,OUT_OF_STOCK
PROD0006,Ultra Kitchen 8703,Home,Kitchen,TechCorp,903.65,505.77,17.66,69x36x27cm,748,Supplier_1,2024-07-09,ACTIVE
PROD0007,Max Decor 4986,Home,Decor,LocalMaker,454.38,159.88,9.238,48x78x52cm,397,Supplier_15,2023-09-19,DISCONTINUED
PROD0008,Elite Kids 7688,Clothing,Kids,PremiumCo,543.36,394.78,20.033,68x31x98cm,712,Supplier_20,2024-09-30,ACTIVE
PROD0009,Advanced Shoes 9114,Clothing,Shoes,GlobalBrand,1106.22,387.86,8.411,83x10x41cm,606,Supplier_17,2023-10-18,OUT_OF_STOCK
PROD0010,Premium Smartphones 900,Electronics,Smartphones,TechCorp,979.1,779.3,18.177,74x76x71cm,236,Supplier_1,2024-05-13,OUT_OF_STOCK
PROD0011,Premium Smartphones 7846,Electronics,Smartphones,GlobalBrand,405.18,140.58,25.288,48x21x97cm,169,Supplier_10,2024-09-12,ACTIVE
PROD0012,Premium Fiction 5815,Books,Fiction,GlobalBrand,55.31,18.62,14.751,79x99x24cm,593,Supplier_1,2024-05-13,ACTIVE
PROD0013,Elite Accessories 5597,Electronics,Accessories,PremiumCo,914.92,431.83,19.798,67x86x28cm,789,Supplier_2,2023-09-06,OUT_OF_STOCK
PROD0014,Premium Accessories 3103,Electronics,Accessories,ValueBrand,934.71,318.88,38.195,5x38x59cm,558,Supplier_14,2023-09-04,OUT_OF_STOCK
PROD0015,Pro Kids 1233,Clothing,Kids,PremiumCo,149.19,83.56,36.962,80x77x22cm,217,Supplier_8,2025-04-30,DISCONTINUED
PROD0016,Premium Men 2090,Clothing,Men,GlobalBrand,202.27,136.89,30.953,31x64x68cm,716,Supplier_17,2024-08-28,ACTIVE
PROD0017,Pro Men 1865,Clothing,Men,PremiumCo,1602.9,640.6,20.112,76x40x31cm,725,Supplier_1,2024-05-09,ACTIVE
PROD0018,Standard Furniture 5100,Home,Furniture,LocalMaker,682.81,248.54,13.72,76x28x82cm,135,Supplier_17,2024-04-12,ACTIVE
PROD0019,Pro Tablets 6349,Electronics,Tablets,PremiumCo,2794.99,973.88,5.817,12x84x96cm,476,Supplier_4,2025-05-25,OUT_OF_STOCK
PROD0020,Ultra Shoes 8203,Clothing,Shoes,PremiumCo,2555.12,996.71,28.033,6x35x71cm,366,Supplier_13,2024-03-20,ACTIVE
PROD0021,Advanced Tablets 5668,Electronics,Tablets,TechCorp,816.22,339.24,14.107,91x36x55cm,265,Supplier_4,2024-05-09,ACTIVE
PROD0022,Ultra Audio 3023,Electronics,Audio,LocalMaker,351.88,281.03,30.646,42x31x78cm,318,Supplier_11,2023-09-26,DISCONTINUED
