transaction_id,customer_code,product_code,sale_date,quantity,unit_price,discount,payment_method,currency,sales_channel,region
TXN000001,CUST0096,PROD0010,2024-12-05,1,1671.65,14.76,PAYPAL,PEN,STORE,ORIENTE
TXN000002,CUST0087,PROD0049,2024-11-20,1,1329.97,24.48,CRYPTO,EUR,STORE,CENTRO
TXN000003,CUST0089,PROD0031,2024-03-18,7,1546.39,19.08,CASH,USD,ONLINE,SUR
TXN000004,CUST0055,PROD0027,2024-03-24,3,1944.06,20.79,DEBIT_CARD,PEN,STORE,ORIENTE
TXN000005,CUST0066,PROD0030,2024-11-04,5,768.46,19.22,CREDIT_CARD,USD,PHONE,NORTE
TXN000006,CUST0039,PROD0043,2024-04-18,2,1708.34,17.43,BANK_TRANSFER,EUR,PHONE,NORTE
TXN000007,CUST0017,PROD0023,2024-04-07,7,229.93,1.35,CREDIT_CARD,PEN,STORE,NORTE
TXN000008,CUST0052,PROD0022,2024-06-17,4,815.56,7.65,CREDIT_CARD,EUR,PHONE,ORIENTE
TXN000009,CUST0082,PROD0019,2024-08-08,7,549.55,17.91,CRYPTO,PEN,MOBILE_APP,CENTRO
TXN000010,CUST0093,PROD0022,2024-09-21,9,885.04,44.74,BANK_TRANSFER,EUR,MOBILE_APP,ORIENTE
TXN000011,CUST0046,PROD0011,2024-01-04,3,160.29,10.31,BANK_TRANSFER,PEN,MOBILE_APP,NORTE
TXN000011,CUST0079,PROD0038,2024-10-24,2,1518.47,,,PEN,STORE,CENTRO
TXN000013,CUST0017,PROD0007,2024-03-29,8,892.97,43.98,CRYPTO,USD,ONLINE,CENTRO
TXN000014,CUST0047,PROD0020,2024-10-09,8,677.45,6.56,CREDIT_CARD,EUR,PHONE,ORIENTE
TXN000015,CUST0059,PROD0036,2024-08-31,6,319.81,18.25,CRYPTO,EUR,PHONE,NORTE
TXN000016,CUST0009,PROD0037,2024-03-31,6,787.23,47.59,CASH,EUR,PHONE,CENTRO
TXN000017,CUST0039,PROD0029,2024-05-25,9,1088.39,48.96,BANK_TRANSFER,USD,STORE,CENTRO
TXN000018,CUST0093,PROD0006,2024-01-22,7,1761.16,28.19,BANK_TRANSFER,EUR,ONLINE,CENTRO
TXN000019,CUST0023,PROD0013,2024-04-13,7,500.09,36.75,DEBIT_CARD,EUR,STORE,ORIENTE
TXN000020,CUST0009,PROD0032,2024-08-13,10,360.69,32.54,PAYPAL,USD,PHONE,CENTRO
TXN000021,CUST0041,PROD0004,2024-06-03,9,182.02,2.75,BANK_TRANSFER,PEN,ONLINE,ORIENTE
TXN000022,CUST0077,PROD0032,2024-05-23,3,999999.99,2.2,CASH,PEN,STORE,CENTRO
TXN000023,CUST0068,PROD0034,2024-11-06,5,1701.59,27.33,DEBIT_CARD,USD,PHONE,ORIENTE
TXN000024,CUST0065,PROD0043,2024-06-29,3,1837.58,7.46,PAYPAL,PEN,PHONE,SUR
TXN000025,CUST0022,PROD0038,2024-01-15,8,1650.09,32.95,DEBIT_CARD,EUR,MOBILE_APP,SUR
TXN000026,CUST0087,PROD0009,2024-10-17,6,1096.95,18.95,CREDIT_CARD,EUR,MOBILE_APP,CENTRO
TXN000027,CUST0064,PROD0045,2024-11-03,6,1627.94,12.15,PAYPAL,PEN,STORE,NORTE
TXN000028,CUST0078,PROD0031,2024-04-21,9,1200.31,22.95,CASH,PEN,STORE,NORTE
TXN000029,CUST0055,PROD0020,2024-08-27,3,676.26,84.86,CRYPTO,PEN,MOBILE_APP,SUR
TXN000030,CUST0042,PROD0024,2024-09-03,8,1012.57,14.46,CRYPTO,USD,STORE,NORTE
TXN000031,CUST0018,PROD0042,2024-06-28,5,1975.33,,,USD,ONLINE,NORTE
TXN000032,CUST0026,PROD0006,2024-12-04,3,754.0,45.59,DEBIT_CARD,EUR,PHONE,CENTRO
TXN000033,CUST0037,PROD0018,2024-02-26,1,1951.95,42.57,PAYPAL,PEN,PHONE,NORTE
