transaction_id,customer_code,product_code,sale_date,quantity,unit_price,discount,payment_method,currency,sales_channel,region
TXN000001,CUST0002,PROD0016,2024-08-17,5,476.16,21.06,CRYPTO,USD,ONLINE,NORTE
TXN000002,CUST0003,PROD0041,2024-07-30,4,131.94,43.61,CASH,USD,PHONE,NORTE
TXN000003,CUST0013,PROD0006,2024-11-23,2,177.14,13.81,CASH,PEN,PHONE,NORTE
TXN000004,CUST0007,PROD0047,2024-05-27,5,1258.32,37.12,PAYPAL,USD,STORE,ORIENTE
TXN000005,CUST0008,PROD0012,2024-12-30,7,609.08,,PAYPAL,PEN,STORE,CENTRO
TXN000006,CUST0020,PROD0012,2024-02-04,6,1737.86,2.63,CASH,USD,PHONE,ORIENTE
TXN000007,CUST0011,PROD0011,2024-08-28,6,1396.82,38.24,BANK_TRANSFER,EUR,PHONE,ORIENTE
TXN000008,CUST0007,PROD0028,2024-09-01,1,519.21,27.46,CRYPTO,PEN,STORE,SUR
TXN000009,CUST0022,PROD0035,2024-03-17,5,92.17,33.26,BANK_TRANSFER,EUR,MOBILE_APP,SUR
TXN000010,CUST0012,PROD0026,2024-06-20,10,1547.65,30.64,BANK_TRANSFER,EUR,PHONE,SUR
TXN000011,CUST0011,PROD0005,2024-09-10,8,1602.87,49.45,CASH,EUR,ONLINE,CENTRO
TXN000012,CUST0004,PROD0037,20240126,2,915.95,1.82,PAYPAL,PEN,STORE,NORTE
TXN000013,CUST0020,PROD0035,2024-11-25,8,1909.72,5.32,CREDIT_CARD,PEN,STORE,NORTE
TXN000014,CUST0022,PROD0015,2024-02-22,1,57.79,3.54,CASH,USD,MOBILE_APP,CENTRO
TXN000015,CUST0006,PROD0036,2024-07-02,3,1666.62,16.96,PAYPAL,PEN,ONLINE,NORTE
TXN000016,CUST0015,PROD0024,2024-11-02,8,1721.7,47.93,CRYPTO,USD,ONLINE,SUR
TXN000017,CUST0014,PROD0039,2024-02-14,7,452.64,8.52,CRYPTO,PEN,PHONE,ORIENTE
TXN000018,CUST0010,PROD0037,2024-04-25,4,1382.49,44.48,CREDIT_CARD,EUR,MOBILE_APP,NORTE
TXN000019,CUST0009,PROD0029,2024-08-12,2,1717.06,46.93,DEBIT_CARD,PEN,ONLINE,SUR
TXN000020,CUST0004,PROD0048,2024-01-08,8,153.04,31.68,CASH,EUR,ONLINE,CENTRO
TXN000021,CUST0005,PROD0034,2024-07-07,6,722.56,9.98,CASH,EUR,STORE,NORTE
TXN000022,CUST0010,PROD0029,2024-02-14,1,372.46,40.33,CREDIT_CARD,EUR,MOBILE_APP,ORIENTE
TXN000023,CUST0017,PROD0022,2024-02-19,3,880.24,25.05,PAYPAL,EUR,STORE,SUR
TXN000024,CUST0023,PROD0018,2024-01-20,5,268.73,33.25,CREDIT_CARD,PEN,STORE,ORIENTE
TXN000025,CUST0019,PROD0048,2024-07-07,9,1596.68,23.18,CRYPTO,PEN,ONLINE,CENTRO
TXN000026,CUST0023,PROD0041,2024-11-22,6,1857.37,,,EUR,MOBILE_APP,ORIENTE
TXN000027,CUST0020,PROD0007,2024-11-04,1,1297.55,5.4,CREDIT_CARD,USD,STORE,CENTRO
TXN000028,CUST0009,PROD0024,2024-10-07,1,1349.71,13.65,CRYPTO,PEN,ONLINE,ORIENTE
TXN000029,CUST0002,PROD0025,2024-12-12,5,1003.31,24.13,CRYPTO,USD,PHONE,SUR
TXN000030,CUST0024,PROD0036,2024-11-22,10,591.65,18.16,CREDIT_CARD,USD,ONLINE,SUR
TXN000031,CUST0016,PROD0038,2024-10-30,3,1598.31,13.81,BANK_TRANSFER,EUR,ONLINE,SUR
TXN000032,CUST0012,PROD0045,2024-03-04,4,658.83,48.02,CRYPTO,PEN,ONLINE,NORTE
TXN000033,CUST0004,PROD0025,2024-12-22,8,1049.55,8.89,CASH,PEN,STORE,CENTRO
TXN000034,CUST0009,PROD0042,2024-05-31,10,1962.15,34.25,CREDIT_CARD,USD,ONLINE,CENTRO
TXN000035,CUST0008,PROD0026,2024-09-14,6,436.67,44.63,CREDIT_CARD,EUR,PHONE,ORIENTE
TXN000036,CUST0024,PROD0045,2024-06-03,5,26.63,30.58,DEBIT_CARD,EUR,PHONE,NORTE
TXN000037,CUST0018,PROD0045,2024-01-26,10,1675.24,14.3,CRYPTO,PEN,ONLINE,NORTE
TXN000038,CUST0023,PROD0016,2024-09-19,2,957.19,27.15,DEBIT_CARD,USD,ONLINE,NORTE
TXN000039,CUST0007,PROD0017,2024-08-15,5,1387.88,28.51,DEBIT_CARD,USD,MOBILE_APP,CENTRO
TXN000040,CUST0008,PROD0029,2024-04-14,9,1927.57,48.12,PAYPAL,EUR,STORE,NORTE
TXN000041,CUST0019,PROD0023,2024-08-06,3,1202.43,10.81,CASH,USD,MOBILE_APP,ORIENTE
TXN000042,CUST0005,PROD0009,20240427,10,246.69,6.07,CRYPTO,PEN,STORE,NORTE
TXN000043,CUST0017,PROD0017,2024-08-17,6,783.25,29.85,DEBIT_CARD,PEN,STORE,ORIENTE
TXN000044,CUST0010,PROD0002,2024-11-24,4,1222.97,12.17,BANK_TRANSFER,PEN,MOBILE_APP,NORTE
TXN000045,CUST0023,PROD0049,2024-11-01,2,1253.7,73.9,BANK_TRANSFER,PEN,STORE,SUR
TXN000046,CUST0003,PROD0047,2024-08-04,5,81.98,6.46,CRYPTO,EUR,ONLINE,NORTE
TXN000047,CUST0019,PROD0011,2024-03-23,4,1171.06,53.82,CRYPTO,EUR,PHONE,ORIENTE
TXN000048,CUST0008,PROD0005,2024-03-11,6,422.27,33.5,CRYPTO,USD,STORE,CENTRO
TXN000049,CUST0008,PROD0040,2024-04-17,9,1279.25,5.04,BANK_TRANSFER,EUR,ONLINE,ORIENTE
TXN000045,CUST0013,PROD0037,2024-01-23,3,1318.31,9.48,CASH,EUR,ONLINE,SUR
